CurrentPath,CurrentName,ProposedTSI01Path,ProposedName,Status,Error
G:\Shared drives\1. Corporate,"TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 9 — Versioning, Environments & DevOps\9.5 OS-07 Change Log Integration\TSI — OS-07 CHANGE LOG INTEGRATION v1.0 MASTER.gdoc",TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI — OS-07 CHANGE LOG INTEGRATION v1.0 MASTER.gdoc,PENDING,
G:\Shared drives\1. Corporate,"TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 9 — Versioning, Environments & DevOps\9.4 Logging & Monitoring\TSI — LOGGING & MONITORING FRAMEWORK.gdoc",TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI — LOGGING & MONITORING FRAMEWORK.gdoc,PENDING,
G:\Shared drives\1. Corporate,"TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 9 — Versioning, Environments & DevOps\9.3 Database Migration Patterns\TSI — DATABASE MIGRATION PATTERNS.gdoc",TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI — DATABASE MIGRATION PATTERNS.gdoc,PENDING,
G:\Shared drives\1. Corporate,"TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 9 — Versioning, Environments & DevOps\9.1 Environments (Dev, Stage, Prod)\TSI — ENVIRONMENTS STRUCTURE (DEV → STAGE → PROD).gdoc",TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI — ENVIRONMENTS STRUCTURE (DEV → STAGE → PROD).gdoc,PENDING,
G:\Shared drives\1. Corporate,"TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 9 — Versioning, Environments & DevOps\9.2 Deployment Pipeline\TSI — DEPLOYMENT PIPELINE v1.0 MASTER.gdoc",TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI — DEPLOYMENT PIPELINE v1.0 MASTER.gdoc,PENDING,
G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 3 — AI ORCHESTRATION LAYER\3.4 Vision Processing Agent\TSI — VISION PROCESSING AGENT v1.0 MASTER.gdoc,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI — VISION PROCESSING AGENT v1.0 MASTER.gdoc,PENDING,
G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 3 — AI ORCHESTRATION LAYER\3.1 MCP   ADA Agent Structure\TSI — MCP   ADA AGENT STRUCTURE v1.0 MASTER.gdoc,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI — MCP   ADA AGENT STRUCTURE v1.0 MASTER.gdoc,PENDING,
G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 3 — AI ORCHESTRATION LAYER\3.2 SAI Orchestration Nodes\TSI — SAI ORCHESTRATION NODES.gdoc,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI — SAI ORCHESTRATION NODES.gdoc,PENDING,
G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 3 — AI ORCHESTRATION LAYER\3.5 IMS Compliance Agent\TSI — IMS COMPLIANCE AGENT v1.0 MASTER.gdoc.lnk,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI — IMS COMPLIANCE AGENT v1.0 MASTER.gdoc.lnk,PENDING,
G:\Shared drives\1. Corporate,TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 3 — AI ORCHESTRATION LAYER\3.3 Risk Classification Agent\TSI — RISK CLASSIFICATION AGENT v1.0 MASTER.gdoc,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,TSI — RISK CLASSIFICATION AGENT v1.0 MASTER.gdoc,PENDING,
