BatchId,SourceDrive,CurrentPath,CurrentName,CurrentType,ProposedTSI01Path,ProposedName,RenameReason,Confidence
med_2026-03-03_06-03-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 02 - Governance Rules for AI Assistants,TSI-OS 02-04 — AI Agent Register.gsheet,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,TSI-OS 02-04 — AI Agent Register.gsheet,Register document â€” governance folder,Med
med_2026-03-03_06-03-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\4. CHANGE LOG FORMAT (OS-07-A TEMPLATE),TSI-OS 07 — CHANGE LOG ENTRY (OFFICIAL) Template.gdoc,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,TSI-OS 07 — CHANGE LOG ENTRY (OFFICIAL) Template.gdoc,Register document â€” governance folder,Med
med_2026-03-03_06-03-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\5. MASTER CHANGE REGISTER (OS-07-B),MASTER CHANGE REGISTER (OS-07-B).gdoc,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,MASTER CHANGE REGISTER (OS-07-B).gdoc,Register document â€” governance folder,Med
med_2026-03-03_06-03-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\1. SCOPE,OS-07 Change Log Scope.gdoc,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,OS-07 Change Log Scope.gdoc,Register document â€” governance folder,Med
med_2026-03-03_06-03-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-03  Division Leads,TSI-OS 01-03 — Division Leads Register (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,TSI-OS 01-03 — Division Leads Register (v1.0).gdoc,Register document â€” governance folder,Med
med_2026-03-03_06-03-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-01  AI Behaviour & Instruction Register (for ChatGPT continuity),AI Behavior Register.gsheet,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,AI Behavior Register.gsheet,Register document â€” governance folder,Med
med_2026-03-03_06-03-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-02  Decision Control Register,Decision Control Register.gsheet,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,Decision Control Register.gsheet,Register document â€” governance folder,Med
med_2026-03-03_06-03-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 01 - Master Control Index (MCI)\OS-01-06  OS Change Log,TSI-OS 01-06 — OS Change Log (Master).gsheet,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,TSI-OS 01-06 — OS Change Log (Master).gsheet,Register document â€” governance folder,Med
med_2026-03-03_06-03-44,,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 02 - Governance Rules for AI Assistants\TSI-OS 02-02 — Command Words Register,TSI-OS 02-02 — Command Words Register.gdoc,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,TSI-OS 02-02 — Command Words Register.gdoc,Register document â€” governance folder,Med
med_2026-03-03_06-03-44,,"G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 05 - Foundational Strategy Stack\TSI-OS 05-06 — SAI-COM (SaaS Framework) Architecture (v1.0 MASTER)\Folder 9 — Versioning, Environments & DevOps\9.5 OS-07 Change Log Integration",TSI — OS-07 CHANGE LOG INTEGRATION v1.0 MASTER.gdoc,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,TSI — OS-07 CHANGE LOG INTEGRATION v1.0 MASTER.gdoc,Register document â€” governance folder,Med
