SourceDrive,CurrentPath,CurrentName,CurrentType,ProposedTSI01Path,ProposedName,RenameReason,Confidence
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 02 - Governance Rules for AI Assistants,TSI-OS 02-04 — AI Agent Register.gsheet,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,TSI-OS 02-04 — AI Agent Register.gsheet,Register document â€” governance folder,Med
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\8. ARCHIVAL RULES (OS-07-E),Archival Rules (OS-07-E).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,Archival Rules (OS-07-E).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\4. CHANGE LOG FORMAT (OS-07-A TEMPLATE),TSI-OS 07 — CHANGE LOG ENTRY (OFFICIAL) Template.gdoc,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,TSI-OS 07 — CHANGE LOG ENTRY (OFFICIAL) Template.gdoc,Register document â€” governance folder,Med
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\5. MASTER CHANGE REGISTER (OS-07-B),MASTER CHANGE REGISTER (OS-07-B).gdoc,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,MASTER CHANGE REGISTER (OS-07-B).gdoc,Register document â€” governance folder,Med
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\7. AI RULES FOR CHANGE CONTROL (OS-07-D),AI Rules for Change Control (OS-07-D).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,AI Rules for Change Control (OS-07-D).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\10. OS-07 MASTER SUMMARY,OS-07 MASTER SUMMARY.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,OS-07 MASTER SUMMARY.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\6. CHANGE IMPLEMENTATION WORKFLOW (OS-07-C),Change Implementation Workflow (OS-07-C).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,Change Implementation Workflow (OS-07-C).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\3. VERSIONING RULES (MANDATORY),Document Versioning Rules.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,Document Versioning Rules.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\9. SECURITY & ACCESS CONTROL (OS-07-F),SECURITY & ACCESS CONTROL (OS-07-F).gdoc,File,TSI-01 DocControl.GOOGLE\01_Governance\Policies\Security_And_Access_Control\INCOMING\,SECURITY & ACCESS CONTROL (OS-07-F).gdoc,Decision A canonical security location,High
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\1. SCOPE,OS-07 Change Log Scope.gdoc,File,TSI-01 DocControl.GOOGLE\01_Governance\Registers\INCOMING\,OS-07 Change Log Scope.gdoc,Register document â€” governance folder,Med
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 07 - OS Change Log (Master)\2. CHANGE CONTROL PRINCIPLES,Change Control Principles.gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,Change Control Principles.gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-04 — Responsibilities Matrix,TSI-OS 04-04 — Responsibilities Matrix (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 04-04 — Responsibilities Matrix (v1.0).gdoc,Staging pending classification,Low
1. Corporate,G:\Shared drives\1. Corporate\TSi — Corporate\01. Corporate Governance\TSI Operating System\TSI-OS 04 - Organisation Command Model (OCM)\TSI-OS 04-03 — Escalation Flows,TSI-OS 04-03 — Escalation Flows (v1.0).gdoc,File,TSI-01 DocControl.GOOGLE\99_Staging\Corporate\,TSI-OS 04-03 — Escalation Flows (v1.0).gdoc,Staging pending classification,Low
