BatchId,SourceFile,TargetRelPath,Decision,Reason
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq01,TSi — Corporate,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq01,desktop.ini,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,EXECUTE,
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq01,TSi — Corporate\06. Security & Access Control,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq01,TSi — Corporate\03. Strategy,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq01,TSi — Corporate\01. Corporate Governance,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq01,TSi — Corporate\05. Communications,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq01,TSi — Corporate\04. Finance (Executive Copies Only),TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq01,TSi — Corporate\02. Legal folder,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq01,TSi — Corporate\06. Security & Access Control\Permissions Matrix,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq01,TSi — Corporate\06. Security & Access Control\Access Requests,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq02,TSi — Corporate\06. Security & Access Control\Audit Logs,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq02,TSi — Corporate\03. Strategy\Quarterly OKRs,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq02,TSi — Corporate\03. Strategy\Annual Plans,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq02,TSi — Corporate\03. Strategy\EmpireBuild Strategy,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq02,TSi — Corporate\03. Strategy\3-Year Roadmaps,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq02,TSi — Corporate\03. Strategy\Brand Strategy,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq02,TSi — Corporate\01. Corporate Governance\Approvals Register,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq02,TSi — Corporate\01. Corporate Governance\Policies,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq02,TSi — Corporate\01. Corporate Governance\Foundational Documents,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
Batch_MIGRATE_1__Corporate_2026-03-01_18-25-06_seq02,TSi — Corporate\01. Corporate Governance\TSI Operating System,TSI-01 DocControl.GOOGLE\99_INBOX\UNCLASSIFIED\1. Corporate,SKIP_PRECHECK,Missing source
